price,load
6747.51,1163
6716.56,1189
6751.96,1192
6711.9,1204
6789.27,1189
6843.38,1193
6917.32,1293
7004.42,1405
7015.69,1559
6958.82,1673
6925.68,1684
6931.46,1657
6797.87,1659
6778.19,1669
6784.6,1598
6782.44,1522
6811.31,1496
6800.37,1524
6742.17,1536
6794.09,1508
6842.71,1459
6829.53,1415
6739.44,1330
6803.25,1263
6788.63,1279
7083.96,1284
6916.62,1527
6805.0,1732
6775.1,1741
6643.49,1730
6656.76,1826
6690.6,1928
6649.98,1918
6638.71,1957
6650.5,1931
6644.0,1915
6639.65,1778
6607.41,1499
6597.54,1361
6606.05,1267
6604.93,1203
6566.08,1230
6617.76,1230
6642.92,1231
6520.75,1251
6354.0,1264
6337.0,1459
6200.81,1647
6186.86,1789
6194.57,1956
6182.38,1991
6230.09,1961
6251.13,1952
6206.39,1956
6219.29,1847
6296.87,1570
6291.71,1341
6300.0,1293
6306.69,1276
6331.96,1263
6299.79,1279
6304.46,1278
6342.0,1260
6368.68,1297
6317.4,1316
6293.64,1268
6305.12,1204
6410.44,1166
6431.55,1198
6442.61,1297
6467.5,1352
6463.47,1347
6462.37,1346
6452.79,1357
6427.59,1383
6454.12,1419
6452.04,1377
6418.0,1239
6447.37,1127
6387.19,1128
6431.32,1185
6440.04,1202
6493.93,1192
6445.09,1198
6471.56,1209
6415.6,1244
6398.93,1250
6439.47,1262
6449.66,1300
6514.07,1260
6439.55,1236
6394.38,1280
6458.0,1275
6528.47,1249
6463.3,1297
6366.74,1325
6363.01,1345
6350.46,1368
6377.88,1397
6343.58,1394
6326.27,1358
6302.53,1414
6302.75,1498
6355.56,1509
6277.46,1413
6249.45,1314
6271.25,1276
6242.69,1267
6217.05,1285
6202.98,1320
6034.99,1345
6009.09,1503
5987.5,1695
5940.22,1775
5902.02,1764
5881.42,1749
5918.24,1783
5895.2,1751
5947.83,1710
5905.29,1693
6063.79,1503
6103.78,1379
6085.36,1460
6129.79,1487
6142.89,1522
6123.46,1543
6122.16,1510
6138.35,1516
6171.09,1509
6088.37,1541
6132.4,1426
6153.9,1218
6152.82,1222
6146.71,1234
6203.0,1232
6202.95,1257
6199.37,1259
6216.83,1274
6212.88,1282
6236.65,1261
6213.7,1238
6218.42,1198
6244.12,1177
6210.77,1222
6163.97,1186
6025.79,1135
6230.96,1328
6215.0,1468
6238.64,1476
6223.84,1491
6233.1,1487
6236.78,1499
6260.32,1470
6251.54,1493
6256.4,1530
6184.31,1505
6167.56,1350
6165.01,1208
6171.98,1241
6116.92,1255
6254.3,1277
6274.7,1297
6306.54,1303
6359.11,1360
6658.17,1445
6675.64,1800
6676.74,2150
6657.02,2161
6646.96,2144
6633.74,2162
6640.0,2044
6622.86,1877
6616.87,1791
6592.85,1719
6632.22,1437
6620.58,1216
6645.23,1226
6646.38,1187
6675.0,1173
6699.92,1215
6676.64,1261
6655.97,1281
6739.91,1254
6793.0,1286
6791.9,1357
6802.9,1394
6810.49,1370
6737.36,1336
6701.05,1343
6716.55,1353
6724.87,1361
6657.93,1347
6648.78,1342
6632.56,1365
6638.32,1403
6617.04,1403
6597.19,1399
6635.25,1361
6626.87,1293
6603.31,1298
6618.98,1292
6621.85,1228
6614.4,1153
6589.92,1125
6638.0,1128
6628.49,1098
6688.39,1106
6725.65,1158
6682.64,1235
6693.43,1302
6740.0,1307
6677.43,1319
6686.75,1356
6599.95,1349
6591.38,1345
6622.38,1363
6649.89,1362
6641.4,1334
6665.24,1351
6617.27,1380
6629.22,1373
6573.88,1282
6588.78,1233
6521.36,1246
6597.04,1292
6869.21,1367
6782.45,1547
6675.21,1717
6690.43,1714
6704.57,1718
6617.76,1733
6557.75,1744
6594.58,1738
6605.55,1726
6699.98,1697
6744.72,1687
6757.78,1579
6696.11,1458
6734.37,1465
6697.39,1449
6653.17,1451
6659.11,1461
6596.65,1415
6587.52,1361
6622.21,1338
6690.53,1347
6661.58,1345
6731.0,1359
6716.16,1346
6766.55,1296
6715.72,1348
6566.06,1430
6560.29,1452
6476.63,1471
6425.74,1572
6522.52,1686
6605.03,1720
6540.03,1724
6576.56,1734
6467.31,1734
6446.48,1653
6444.06,1474
6392.01,1381
6266.28,1455
6258.41,1632
6276.85,1729
6379.0,1726
6231.74,1704
6223.56,1683
6287.11,1641
6323.91,1537
5843.29,1511
5863.53,1833
5790.81,2130
5768.0,2184
5855.59,2268
5913.0,2271
5875.37,2187
5901.94,2115
5955.36,2138
5897.53,2166
5871.48,1797
5903.84,1436
5816.19,1425
5871.86,1426
6050.56,1380
5922.9,1423
5911.03,1517
5990.12,1515
6016.75,1523
6039.94,1493
6076.14,1475
6064.45,1533
6064.27,1595
6018.05,1512
6153.57,1396
6254.5,1432
6306.31,1624
6241.11,1707
6289.34,1634
6305.86,1611
6358.88,1615
6296.11,1679
6351.93,1726
6264.55,1706
6255.0,1583
6191.2,1359
6186.98,1335
6153.94,1374
6179.43,1376
6325.25,1421
6216.27,1442
6210.51,1458
6066.77,1433
6133.75,1459
6212.08,1518
6182.8,1535
6161.2,1547
6130.3,1547
6118.72,1567
5974.53,1548
5976.4,1533
6112.51,1526
6151.16,1527
6227.72,1534
6112.18,1501
6174.87,1507
6267.45,1538
6278.37,1592
6285.0,1641
6140.88,1664
6208.36,1654
6162.1,1502
6239.19,1374
5963.79,1405
6187.59,1536
6193.66,1663
6415.9,1668
6438.18,1806
6614.66,1961
6604.26,2156
6545.13,2361
6613.52,2362
6659.99,2345
6824.25,2388
6756.62,2356
6601.45,2299
6318.39,2080
6240.0,1946
6218.72,2151
6199.84,2226
6156.35,2237
6150.04,2342
6160.5,2410
6219.15,2405
6162.37,2314
6278.63,2101
6237.16,1673
6237.08,1312
6215.57,1296
6137.0,1303
6308.45,1295
6164.03,1354
5895.1,1382
5808.5,1599
5842.96,1911
5848.68,2040
5621.86,2067
5560.91,2254
5593.53,2471
5408.28,2491
5414.19,2658
5374.51,2669
5368.18,2310
5301.21,2066
5286.84,2075
5285.9,2117
5355.88,1892
5347.31,1683
5393.04,1678
5340.23,1496
5353.23,1291
5318.91,1266
5328.51,1265
5316.82,1226
5225.23,1231
5199.59,1294
5328.89,1384
5301.06,1412
5340.82,1418
5112.98,1397
5140.39,1410
5082.4,1504
5143.13,1539
5173.0,1546
5148.73,1536
5255.29,1540
5270.0,1569
5418.65,1568
5394.15,1613
5373.02,1678
5365.22,1690
5355.78,1714
5312.64,1679
5424.75,1609
5426.06,1600
5429.54,1493
5375.11,1352
5367.79,1292
5354.49,1274
5348.37,1271
5362.99,1281
5229.21,1278
5090.11,1360
5206.25,1617
5267.61,1722
5293.45,1716
5228.02,1672
5285.01,1577
5343.72,1555
5272.23,1564
5276.13,1579
5262.76,1571
5311.16,1563
5281.58,1463
5189.21,1305
5070.72,1312
5028.97,1483
4921.88,1651
4962.0,1802
4898.33,1871
4939.25,1867
5119.03,1876
5068.73,1875
5011.13,1837
5151.39,1691
4938.68,1576
4840.16,1573
4763.32,1622
4565.59,1750
4450.95,2003
4820.6,2327
4914.6,2457
4785.67,2425
5015.09,2437
5158.42,2422
5243.88,2441
5273.34,2569
5335.63,2668
5301.5,2727
5254.74,2764
5361.3,2453
5367.76,2159
5903.77,2170
5186.43,2500
5312.35,2675
5307.63,2487
5302.71,2478
5291.33,2478
5324.48,2490
5314.77,2489
5333.78,2466
5307.78,2460
5429.99,2462
5430.88,1994
5244.91,1434
5230.24,1373
5272.23,1401
5293.5,1417
5252.24,1433
5255.8,1443
5178.64,1449
5197.47,1508
5153.42,1551
5200.07,1561
5172.06,1455
5273.08,1301
5300.76,1292
5334.31,1306
5386.85,1335
5443.8,1445
5396.66,1549
5387.61,1581
5311.38,1610
5369.57,1595
5300.0,1583
5425.53,1506
5448.38,1365
5385.03,1326
5233.7,1353
5351.61,1414
5500.4,1442
5426.0,1508
5431.06,1584
5506.94,1570
5573.97,1564
5548.5,1628
5482.84,1677
5451.3,1675
5578.6,1674
5601.24,1591
5499.89,1448
5356.47,1411
5391.08,1464
4985.34,1499
5183.87,1910
5196.73,2298
5212.37,2280
5394.36,2254
5608.0,2242
5525.06,2288
5403.56,2315
5595.31,2278
5584.33,2258
5276.38,2268
5385.87,2082
5199.98,1868
4956.52,1841
4774.48,2077
5167.26,2502
4848.71,2696
4130.64,2676
4654.72,3301
4800.0,3954
5802.7,3749
5819.97,3948
5743.43,4394
6037.45,4414
5985.61,4645
6114.61,4856
6088.59,4933
6132.13,5013
6094.19,4473
5994.03,3820
